"","_id","iid","sv","sd","vtyp","sno","sna","sip","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","nbcnt","bemp","act"
"1","1","339","0","20000101000000","1","0001","捷運市政府站(3號出口)","10.7.0.11","180","0","信義區","20151012003926","25.0408578889","121.567904444","忠孝東路/松仁路(東南側)","Xinyi Dist.","MRT Taipei City Hall Stataion(Exit 3)-2","The S.W. side of Road Zhongxiao East Road & Road Chung Yan.","0","0","0"
"2","2","340","0","20000101000000","1","0002","捷運國父紀念館站(2號出口)","10.250.2.1","48","0","大安區","20151012003917","25.041","121.556945","忠孝東路四段/光復南路口(西南側)","Daan Dist.","MRT S.Y.S Memorial Hall Stataion(Exit 2.)","Sec,4. Zhongxiao E.Rd/GuangFu S. Rd","0","0","0"
"3","3","341","0","20000101000000","1","0003","台北市政府","10.250.3.1","40","0","信義區","20151012003931","25.0377972222","121.565169444","台北市政府東門(松智路) ","Xinyi Dist.","Taipei City Hall","Taipei City Government Eastgate (Song Zhi Road)","0","0","0"
"4","4","342","0","20000101000000","1","0004","市民廣場","10.250.4.1","60","0","信義區","20151012003929","25.0360361111","121.562325","市府路/松壽路(西北側) ","Xinyi Dist.","Citizen Square","The N.W. side of Road Shifu & Road Song Shou.","0","0","0"
"5","5","343","0","20000101000000","1","0005","興雅國中","10.250.3.1","60","0","信義區","20151012003929","25.0365638889","121.5686639","松仁路/松仁路95巷(東南側)","Xinyi Dist.","Xingya Jr. High School","","0","0","0"
"6","6","344","0","20000101000000","1","0006","世貿二館","10.250.6.1","80","0","信義區","20151012003940","25.0347361111","121.565658333","松智路/松廉路(東北側) ","Xinyi Dist.","TWTC Exhibition Hall 2","The N.E. side of Road Song Zhi & Road Song Lian.","0","0","0"
"7","7","345","0","20000101000000","1","0007","信義廣場(台北101)","10.250.7.1","80","0","信義區","20151012003948","25.0330388889","121.565619444","松智路/信義路(東北側) ","Xinyi Dist.","Xinyi Square(Taipei 101)","The N.E. side of Road Song Zhi & Road Xinyi.","0","0","0"
"8","8","346","0","20000101000000","1","0008","世貿三館","10.250.8.1","60","0","信義區","20151012003929","25.0352138889","121.563688889","市府路/松壽路(東南側) ","Xinyi Dist.","TWTC Exhibition Hall 3","The S.E. side of Road Shifu & Road Song Shou.","0","0","0"
"9","9","347","0","20000101000000","1","0009","松德站","10.250.9.1","40","0","信義區","20151012003918","25.03159","121.574353","台北市信義區松德路300號","Xinyi Dist.","Songde","No.300, Songde Rd.(32)","0","0","0"
"10","10","348","0","20000101000000","1","0010","台北市災害應變中心","10.250.10.1","54","0","信義區","20151012003936","25.0286611111","121.566116667","台北市信義區莊敬路391巷11弄2號","Xinyi Dist.","Emergency Operations Center of Taipei City","No.2, Aly. 11, Ln. 391, Zhuangjing Rd.","0","0","0"
"11","11","349","0","20000101000000","1","0011","三張犁","10.250.11.1","66","0","信義區","20151012003936","25.034937","121.55762","光復南路/基隆路一段364巷","Xinyi Dist.","Sanchangli","The S.E. side of Road Guangfu South & Ln. 346, Sec. 1, Keelung Rd.","0","0","0"
"12","12","350","0","20120725000000","1","0012","臺北醫學大學","","34","0","信義區","20151012003916","25.026679","121.561747","台北醫學大學(吳興街220巷59弄)","Xinyi Dist.","Taipei Medical University","Aly. 59, Ln. 220, Wuxing St.","0","0","0"
"13","13","351","0","20120725000000","1","0013","福德公園","","66","0","信義區","20151012003925","25.03809","121.58367","大道路/福德街路口北西側","Xinyi Dist.","Fude Park","The N.W. side of Road Dadao & St. Fude.","0","0","0"
"14","14","352","0","20120725000000","1","0014","榮星花園","","32","0","中山區","20151012003930","25.06424","121.54037","五常街/龍江路口(西南側)","Zhongshan Dist.","Rongxing Park","The S.W. side of St.Wuchang & Road Longjiang.","0","0","0"
"15","15","353","0","20120725000000","1","0015","饒河夜市","","60","0","松山區","20151012003928","25.049845","121.571885","八德路/松信路(西南側)","Songshan Dist.","Raohe Night Market","The S.W. side of Road Bade & Road SongXiny.","0","0","0"
"16","16","354","0","20120725000000","1","0016","松山家商","","48","0","信義區","20151012003920","25.036084","121.579135","林口街/福德街(南東側)","Xinyi Dist.","Songshan Vocational High School","The S.E. side of St. Linkou & St. Fude.","0","0","0"
"17","17","355","0","20120725000000","1","0017","民生光復路口","","34","0","松山區","20151012003929","25.05840","121.55504","光復北路/民生東路(西北側)","Songshan Dist.","Minsheng & Guangfu Intersection","The N.W. side of Road Guangfu S & Road Minsheng E.","0","0","0"
"18","18","356","0","20120725000000","1","0018","社教館","","38","0","松山區","20151012003942","25.048268","121.552278","八德路三段25號前","Songshan Dist.","Taipei Cultural Center","No.25, Sec. 3, Bade Rd.","0","0","0"
"19","19","357","0","20120725000000","1","0019","中強公園","","30","0","信義區","20151012003930","25.02863","121.56981","松仁路153巷17號對面","Xinyi Dist.","Zhongqiang Park","No.17, Ln. 153, Songren Rd","0","0","0"
"20","20","358","0","20120725000000","1","0020","捷運科技大樓站","","56","0","大安區","20151012003930","25.025896","121.543293","科技大樓站對面(復興南路2段西側)","Daan Dist.","MRT Technology Bldg. Sta.","No.235, Sec. 2, Fusing S. Rd.","0","0","0"
"21","21","359","0","20120725000000","1","0021","民生敦化路口","","66","0","松山區","20151012003942","25.057985","121.548982","敦化民生路口公車站旁","Songshan Dist.","Minsheng & Dunhua Intersection","The side of bus stop- Dunhua Minsheng Intersection.","0","0","0"
"22","22","360","0","20120725000000","1","0022","松山車站","","44","0","松山區","20151012003924","25.048616","121.578095","松山車站西出口外自行車格內","Songshan Dist.","Songshan Rail Sta.","Bicycle parking lot- West exit in Songshan station","0","0","0"
